town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Westport Island,Lincoln,2024,835,38.68,50.47,35.9,45.69,35.24,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; older adults; housing cost burden,30.08,42.86,4.47,1.52,35.93,16.89,5.87,24.51,7.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Liberty,Waldo,2024,969,38.65,64.31,44.04,31.02,53.67,seasonal-market pressure and year-round housing review,seasonal housing pressure; renter cost burden; housing cost burden; long commutes,35.22,38.46,14.76,2.3,21.78,17.93,19.4,42.86,21.15,4.61,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Portage Lake,Aroostook,2024,374,38.6,53.53,55.91,36.68,49.4,monitor and screen after hazard-layer ingestion,older adults; seasonal housing pressure; disability; renter cost burden,20.0,41.67,12.03,0.52,55.88,32.09,5.08,48.09,14.19,1.04,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Stoneham,Oxford,2024,271,38.56,58.54,40.62,40.34,47.16,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; older adults; housing cost burden,29.36,66.67,7.38,0.0,40.96,16.61,5.9,60.86,14.81,3.39,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
North Yarmouth,Cumberland,2024,4240,38.54,33.43,22.34,52.16,20.56,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; older adults,21.37,38.83,4.83,1.36,17.12,9.29,21.51,0.81,8.91,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brooklin,Hancock,2024,869,38.52,61.09,39.14,37.7,45.98,seasonal-market pressure and year-round housing review,seasonal housing pressure; housing cost burden; renter cost burden; disability,44.81,29.55,7.72,2.86,24.74,17.95,16.34,49.0,14.93,0.26,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Windsor,Kennebec,2024,2690,38.49,46.6,32.54,34.33,36.89,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; children/family demand; housing cost burden,29.28,46.23,7.52,4.76,14.35,17.62,23.16,5.4,24.46,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Readfield,Kennebec,2024,2651,38.43,46.09,29.32,47.53,31.16,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; children/family demand; seasonal housing pressure,34.71,31.25,5.03,1.27,22.29,12.0,18.71,17.87,7.77,1.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hermon,Penobscot,2024,6727,38.37,31.98,27.39,47.84,23.23,monitor and screen after hazard-layer ingestion,children/family demand; renter cost burden; housing cost burden; older adults,22.65,28.21,6.83,2.89,20.38,9.96,21.6,0.0,11.51,0.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Georgetown,Sagadahoc,2024,1012,38.32,60.85,35.25,39.67,44.66,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; housing cost burden; older adults,33.85,71.64,6.32,1.03,33.1,13.83,15.71,49.36,15.13,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dayton,York,2024,2313,38.31,38.75,23.78,47.72,24.74,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; disability,29.81,37.97,3.68,2.17,14.31,11.37,20.41,3.78,10.87,0.97,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Amherst,Hancock,2024,424,38.27,43.95,30.82,40.87,30.91,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; older adults,25.57,50.0,6.13,1.05,24.29,14.86,19.34,7.24,13.74,1.05,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hope,Knox,2024,1748,38.25,44.17,26.36,49.46,26.34,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; seasonal housing pressure,28.74,37.84,5.33,1.29,21.11,9.53,23.34,15.29,3.26,1.15,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Mount Desert,Hancock,2024,1671,38.24,55.32,33.94,46.54,37.52,seasonal-market pressure and year-round housing review,seasonal housing pressure; renter cost burden; housing cost burden; older adults,30.07,33.88,7.43,6.65,29.14,8.08,14.12,57.56,5.24,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Moscow,Somerset,2024,865,38.22,59.64,48.1,20.9,57.2,monitor and screen after hazard-layer ingestion,long commutes; renter cost burden; poverty; seasonal housing pressure,25.5,47.22,20.69,0.0,23.7,17.23,15.72,19.65,31.99,8.29,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Charlotte,Washington,2024,377,38.12,45.83,56.79,40.0,42.55,monitor and screen after hazard-layer ingestion,poverty; seasonal housing pressure; disability; children/family demand,19.73,0.0,22.81,6.71,21.75,27.32,21.75,28.96,5.3,3.05,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Belmont,Waldo,2024,876,38.08,47.51,35.66,37.33,36.45,monitor and screen after hazard-layer ingestion,renter cost burden; older adults; housing cost burden; children/family demand,30.4,46.34,4.27,3.59,33.68,15.3,17.24,12.92,15.81,1.67,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Naples,Cumberland,2024,3985,38.06,62.01,35.08,35.59,50.04,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,29.67,59.92,9.51,3.27,23.29,13.93,15.58,38.15,24.65,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Prospect,Waldo,2024,923,37.99,39.61,32.8,38.02,31.49,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; renter cost burden; long commutes,32.46,31.25,7.28,3.46,19.83,13.43,25.24,0.79,17.44,3.19,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Jackman,Somerset,2024,695,37.93,61.12,47.9,30.01,52.67,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; disability; long commutes,23.05,57.14,11.94,6.73,22.73,30.36,11.51,34.16,22.33,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Phippsburg,Sagadahoc,2024,2238,37.93,54.1,37.76,44.12,40.16,monitor and screen after hazard-layer ingestion,seasonal housing pressure; renter cost burden; older adults; housing cost burden,28.06,35.48,7.55,4.67,34.41,13.05,11.53,34.77,7.87,0.67,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hancock,Hancock,2024,2518,37.92,51.67,41.22,34.72,43.67,monitor and screen after hazard-layer ingestion,renter cost burden; disability; seasonal housing pressure; older adults,28.92,41.95,8.18,2.53,30.22,21.88,13.86,21.78,18.97,1.74,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Union,Knox,2024,2663,37.92,44.98,33.33,41.83,34.64,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; renter cost burden; long commutes,32.14,24.6,10.23,2.08,21.37,11.17,24.93,14.78,14.88,0.57,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Tremont,Hancock,2024,1508,37.9,56.31,28.32,47.83,34.97,seasonal-market pressure and year-round housing review,seasonal housing pressure; housing cost burden; renter cost burden; children/family demand,37.23,32.14,6.65,1.71,21.35,7.76,20.16,37.15,3.38,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Eagle Lake,Aroostook,2024,570,37.86,56.21,50.89,33.88,52.06,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; renter cost burden; long commutes,24.32,33.33,11.39,10.33,39.47,21.09,12.63,47.15,21.71,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Coplin,Franklin,2024,51,37.81,59.52,47.8,32.0,49.18,seasonal-market pressure and year-round housing review,seasonal housing pressure; housing cost burden; poverty; zero-car households,40.0,0.0,17.65,16.0,19.61,7.84,5.88,80.77,16.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Garfield,Aroostook,2024,77,37.78,42.04,45.02,45.66,33.07,monitor and screen after hazard-layer ingestion,housing cost burden; disability; seasonal housing pressure; older adults,50.0,0.0,1.3,2.08,31.17,37.66,15.58,22.58,2.56,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Kingfield,Franklin,2024,820,37.75,51.82,45.84,38.49,43.58,monitor and screen after hazard-layer ingestion,seasonal housing pressure; poverty; older adults; renter cost burden,19.41,27.66,15.61,8.43,28.41,16.1,15.85,29.31,12.53,0.89,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hartland,Somerset,2024,1602,37.7,54.66,49.37,28.66,50.63,monitor and screen after hazard-layer ingestion,disability; renter cost burden; seasonal housing pressure; long commutes,22.82,40.15,16.03,1.44,21.79,31.79,19.66,25.32,24.81,0.39,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Greenville,Piscataquis,2024,1355,37.51,52.41,50.42,37.06,46.45,seasonal-market pressure and year-round housing review,seasonal housing pressure; disability; older adults; housing cost burden,31.62,15.45,13.72,2.97,34.17,23.54,8.19,54.57,11.11,2.69,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Passadumkeag,Penobscot,2024,384,37.48,46.04,47.52,27.11,47.7,monitor and screen after hazard-layer ingestion,long commutes; poverty; disability; housing cost burden,30.57,21.05,16.67,3.59,25.52,20.63,20.31,9.95,38.52,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Waterford,Oxford,2024,1295,37.42,60.48,44.82,30.59,53.88,monitor and screen after hazard-layer ingestion,seasonal housing pressure; long commutes; renter cost burden; poverty,25.67,36.59,16.45,5.48,27.72,14.52,12.9,35.29,26.28,0.51,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Temple,Franklin,2024,824,37.41,58.49,36.1,31.55,45.8,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; seasonal housing pressure; long commutes,29.1,73.33,10.16,4.2,15.05,17.96,32.77,24.81,20.33,2.67,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bridgton,Cumberland,2024,5642,37.37,59.16,46.87,28.0,57.79,seasonal-market pressure and year-round housing review,seasonal housing pressure; long commutes; disability; housing cost burden,30.92,30.73,12.83,6.6,26.73,22.0,17.97,47.71,39.25,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Limington,York,2024,4017,37.33,49.43,31.02,28.18,44.94,monitor and screen after hazard-layer ingestion,long commutes; renter cost burden; housing cost burden; children/family demand,40.36,46.23,3.41,1.5,22.08,13.47,15.63,6.89,33.46,5.76,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Buxton,York,2024,8512,37.31,36.07,27.09,41.27,31.08,monitor and screen after hazard-layer ingestion,long commutes; housing cost burden; renter cost burden; children/family demand,30.09,26.88,2.32,7.93,19.2,10.15,16.17,3.6,22.19,0.73,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Waterboro,York,2024,8055,37.21,52.84,24.57,32.82,43.01,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; children/family demand; housing cost burden,33.27,50.24,5.96,1.13,14.81,8.93,22.52,15.72,31.89,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Willimantic,Piscataquis,2024,200,37.18,49.81,51.64,38.98,45.15,monitor and screen after hazard-layer ingestion,poverty; children/family demand; seasonal housing pressure; older adults,22.06,0.0,32.5,3.9,25.5,15.5,36.5,71.28,10.34,1.3,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Casco,Cumberland,2024,3696,37.1,56.06,39.33,36.85,48.33,monitor and screen after hazard-layer ingestion,seasonal housing pressure; renter cost burden; long commutes; disability,25.92,39.71,10.98,1.44,26.33,19.61,11.31,40.77,21.72,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Industry,Franklin,2024,988,37.07,65.01,35.52,24.65,53.61,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; housing cost burden; seasonal housing pressure,44.28,65.85,6.88,1.68,22.27,15.89,24.39,27.1,32.15,1.12,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dyer Brook,Aroostook,2024,275,37.02,50.51,30.73,39.05,35.71,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; seasonal housing pressure; disability,22.43,50.0,6.91,6.9,12.36,17.09,24.36,19.44,13.74,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cambridge,Somerset,2024,532,36.99,48.11,42.59,32.14,42.69,monitor and screen after hazard-layer ingestion,housing cost burden; long commutes; children/family demand; poverty,48.13,0.0,14.1,0.43,18.61,18.61,19.17,17.2,21.99,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Manchester,Kennebec,2024,2424,36.98,41.76,29.33,45.13,29.63,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; older adults,29.36,30.88,4.46,3.46,22.57,13.16,19.02,14.81,9.92,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bethel,Oxford,2024,2617,36.97,53.04,41.29,39.46,45.3,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; housing cost burden; poverty,28.27,21.28,13.92,3.1,29.35,13.53,15.86,34.24,16.35,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Northfield,Washington,2024,263,36.91,48.36,55.92,36.98,46.3,monitor and screen after hazard-layer ingestion,seasonal housing pressure; poverty; older adults; disability,20.79,0.0,20.53,11.11,39.16,14.83,11.41,61.03,11.7,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Rome,Kennebec,2024,1215,36.88,57.15,34.31,39.5,41.04,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; children/family demand; older adults,22.99,54.17,10.34,0.0,24.69,15.83,21.4,42.93,10.7,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Blanchard UT,Piscataquis,2024,81,36.81,63.89,51.11,20.99,60.33,resilience-first housing and infrastructure planning,renter cost burden; older adults; seasonal housing pressure; long commutes,33.33,100.0,11.11,0.0,72.84,22.22,0.0,42.4,66.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Mariaville,Hancock,2024,724,36.8,66.72,33.17,28.65,51.64,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,35.4,58.49,9.94,6.19,17.68,8.29,19.61,35.7,25.49,1.3,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Wayne,Kennebec,2024,1101,36.77,49.56,33.85,44.21,37.98,monitor and screen after hazard-layer ingestion,seasonal housing pressure; housing cost burden; older adults; renter cost burden,33.82,25.0,7.9,0.56,29.25,11.63,13.35,28.09,11.25,0.56,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Woodland,Aroostook,2024,1196,36.76,30.5,36.31,45.61,25.02,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; poverty; disability,28.64,0.0,13.91,0.0,17.98,14.3,25.17,4.68,5.59,3.01,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Rangeley,Franklin,2024,792,36.71,57.37,51.2,28.03,54.26,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; older adults; disability,30.16,62.61,1.77,7.0,49.12,32.58,3.91,67.7,25.06,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brownfield,Oxford,2024,1830,36.65,57.8,34.13,29.22,47.64,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; children/family demand; seasonal housing pressure,30.94,61.82,8.09,5.1,18.47,15.3,26.67,23.54,27.54,0.75,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Surry,Hancock,2024,1836,36.6,55.4,35.36,34.5,44.74,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; long commutes; older adults,27.5,65.79,7.03,2.02,30.94,15.41,16.56,27.41,21.03,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Boothbay,Lincoln,2024,3102,36.58,50.55,38.05,42.87,37.53,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; renter cost burden; housing cost burden,27.49,30.38,6.79,3.12,35.43,15.91,11.48,33.56,4.53,0.59,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bristol,Lincoln,2024,2917,36.57,46.28,38.22,48.01,37.3,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; housing cost burden; renter cost burden,26.39,23.45,6.42,1.8,42.78,13.88,13.88,40.75,6.48,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cushing,Knox,2024,1460,36.54,45.48,27.92,47.75,29.73,monitor and screen after hazard-layer ingestion,seasonal housing pressure; renter cost burden; children/family demand; housing cost burden,23.96,33.7,7.74,2.19,20.55,9.75,17.12,23.22,4.56,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Morrill,Waldo,2024,914,36.49,37.18,29.69,38.11,29.52,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; housing cost burden; long commutes,28.35,34.29,6.26,1.93,18.49,14.93,22.76,1.36,18.41,0.83,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Beals,Washington,2024,498,36.45,38.89,42.85,41.69,35.42,monitor and screen after hazard-layer ingestion,older adults; housing cost burden; seasonal housing pressure; disability,29.1,7.41,10.84,4.48,30.12,17.07,16.06,17.7,8.99,4.04,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Eastbrook,Hancock,2024,742,36.44,52.42,51.56,32.89,49.84,monitor and screen after hazard-layer ingestion,seasonal housing pressure; poverty; disability; long commutes,27.85,8.11,21.16,1.22,25.47,23.18,17.39,38.19,18.95,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Porter,Oxford,2024,1746,36.41,45.48,33.11,34.51,38.86,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; children/family demand; disability,22.75,43.9,9.76,1.89,20.45,15.18,16.84,12.4,23.35,1.26,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Kennebunkport,York,2024,3684,36.33,46.46,38.85,43.58,42.13,monitor and screen after hazard-layer ingestion,seasonal housing pressure; older adults; housing cost burden; disability,27.05,25.83,4.57,5.68,36.94,17.81,7.95,30.44,16.58,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Smithfield,Somerset,2024,856,36.33,55.32,32.16,41.36,42.04,monitor and screen after hazard-layer ingestion,seasonal housing pressure; renter cost burden; older adults; housing cost burden,28.8,42.86,5.84,2.91,29.67,11.57,10.05,37.48,14.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bancroft UT,Aroostook,2024,78,36.31,59.37,87.44,1.34,85.82,equity and recovery-capacity priority,poverty; older adults; seasonal housing pressure; long commutes,33.33,0.0,53.85,10.91,94.87,32.05,0.0,40.22,100.0,38.18,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Friendship,Knox,2024,1213,36.28,53.59,39.45,38.4,44.32,monitor and screen after hazard-layer ingestion,seasonal housing pressure; renter cost burden; older adults; housing cost burden,23.33,37.5,9.98,3.8,37.26,12.7,15.33,37.9,15.37,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Southeast Piscataquis UT,Piscataquis,2024,437,36.23,52.61,55.46,29.58,52.75,monitor and screen after hazard-layer ingestion,seasonal housing pressure; poverty; children/family demand; disability,28.96,0.0,24.49,1.53,28.83,19.68,20.82,44.5,19.39,3.06,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sumner,Oxford,2024,845,36.22,66.29,36.97,24.58,57.13,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,41.98,100.0,5.8,3.5,29.7,13.85,17.16,34.05,35.22,1.62,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Sebago,Cumberland,2024,2073,36.11,63.22,35.53,28.06,54.4,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; long commutes; children/family demand,27.73,53.26,13.69,1.19,17.37,14.09,19.78,38.86,31.41,0.59,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Long Island,Cumberland,2024,249,36.05,62.01,32.42,32.46,50.17,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,33.33,88.89,4.42,8.65,28.92,7.63,18.07,72.58,26.47,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Whiting,Washington,2024,506,36.03,55.59,45.86,31.4,49.28,seasonal-market pressure and year-round housing review,disability; seasonal housing pressure; housing cost burden; renter cost burden,36.84,33.33,5.34,2.12,27.47,34.19,17.79,33.94,17.35,2.97,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Danforth,Washington,2024,666,36.02,60.79,53.45,20.06,62.15,resilience-first housing and infrastructure planning,disability; seasonal housing pressure; long commutes; renter cost burden,32.5,36.11,13.87,1.75,26.13,36.64,13.36,42.07,32.37,5.26,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Great Pond,Hancock,2024,42,36.02,59.77,45.87,26.57,57.62,monitor and screen after hazard-layer ingestion,renter cost burden; older adults; seasonal housing pressure; long commutes,22.22,100.0,14.29,0.0,59.52,11.9,7.14,42.86,45.45,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
St. Agatha,Aroostook,2024,842,36.02,41.59,35.61,43.35,31.87,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; older adults; children/family demand,13.78,35.48,10.69,3.76,27.32,14.96,16.98,20.04,7.53,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Alna,Lincoln,2024,818,35.98,42.23,20.78,43.43,27.68,monitor and screen after hazard-layer ingestion,children/family demand; renter cost burden; housing cost burden; long commutes,30.92,42.86,2.08,0.68,17.36,8.61,32.89,10.09,13.79,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Blaine,Aroostook,2024,706,35.89,29.32,30.86,46.99,21.41,monitor and screen after hazard-layer ingestion,children/family demand; disability; housing cost burden; renter cost burden,25.0,20.0,5.69,0.0,18.13,21.53,24.08,3.81,5.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Orrington,Penobscot,2024,3853,35.85,26.27,29.47,49.64,20.83,monitor and screen after hazard-layer ingestion,children/family demand; older adults; housing cost burden; disability,23.24,11.86,6.64,0.49,23.77,13.96,16.38,3.99,6.73,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Acton,York,2024,2721,35.76,60.9,38.16,27.54,55.44,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,29.41,100.0,7.82,4.5,26.17,18.82,13.12,51.17,35.66,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bowdoin,Sagadahoc,2024,3188,35.73,30.62,29.68,40.79,28.13,monitor and screen after hazard-layer ingestion,housing cost burden; long commutes; children/family demand; poverty,36.05,0.0,10.95,0.0,14.12,9.79,19.13,0.0,20.32,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lamoine,Hancock,2024,1782,35.71,45.35,30.77,45.29,33.96,monitor and screen after hazard-layer ingestion,seasonal housing pressure; housing cost burden; older adults; renter cost burden,26.56,23.27,8.92,2.84,25.48,7.74,15.04,26.0,9.21,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
