town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Plymouth,Penobscot,2024,1319,40.38,52.68,29.9,39.16,34.11,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; long commutes,35.73,55.56,6.54,4.93,18.42,9.82,23.81,8.76,16.2,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Kenduskeag,Penobscot,2024,1333,40.25,39.42,36.91,44.03,28.92,monitor and screen after hazard-layer ingestion,poverty; children/family demand; renter cost burden; housing cost burden,21.37,27.16,15.9,5.65,15.6,11.85,20.03,1.47,12.61,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
New Sweden,Aroostook,2024,494,40.23,36.69,48.8,40.85,32.05,monitor and screen after hazard-layer ingestion,children/family demand; disability; poverty; older adults,25.89,15.79,15.99,2.45,30.77,21.86,23.08,2.3,10.12,2.45,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Carrabassett Valley,Franklin,2024,637,40.22,55.29,45.27,47.02,40.37,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; older adults; zero-car households,14.84,53.85,3.95,20.44,42.7,14.6,7.85,81.54,3.12,0.83,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Smyrna,Aroostook,2024,380,40.21,40.79,47.61,42.09,33.29,monitor and screen after hazard-layer ingestion,children/family demand; zero-car households; poverty; housing cost burden,26.02,0.0,15.79,21.54,10.79,14.47,33.16,8.67,7.8,2.31,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Mechanic Falls,Androscoggin,2024,3134,40.2,45.1,33.64,36.68,34.73,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; long commutes; housing cost burden,33.25,42.86,9.16,1.12,16.4,17.66,24.09,0.0,23.5,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Monroe,Waldo,2024,1001,40.19,48.92,38.2,35.68,39.36,monitor and screen after hazard-layer ingestion,renter cost burden; children/family demand; long commutes; housing cost burden,25.87,50.94,11.29,3.79,22.58,16.08,23.68,6.17,22.0,2.61,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Mars Hill,Aroostook,2024,1398,40.18,38.41,39.94,44.5,28.16,monitor and screen after hazard-layer ingestion,children/family demand; renter cost burden; disability; older adults,22.87,30.6,9.56,8.14,24.54,17.62,22.89,3.21,7.43,1.77,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Palermo,Waldo,2024,1473,40.18,66.29,34.24,39.88,45.48,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; housing cost burden; children/family demand,44.69,65.62,4.76,1.67,21.18,17.31,18.06,33.1,12.96,2.28,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Randolph,Kennebec,2024,1610,40.17,34.05,46.58,44.1,28.96,monitor and screen after hazard-layer ingestion,poverty; disability; older adults; housing cost burden,23.54,11.31,15.67,4.91,27.76,20.19,12.73,1.75,9.18,0.13,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Gray,Cumberland,2024,8429,40.15,48.8,27.4,44.95,33.54,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; long commutes,29.56,56.35,3.55,2.98,19.27,14.07,19.01,14.27,15.35,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Linneus,Aroostook,2024,1226,40.14,61.89,36.09,42.75,38.93,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; children/family demand; poverty,23.04,53.85,11.99,10.42,15.25,11.13,23.98,31.6,3.21,1.55,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Whitefield,Lincoln,2024,2157,40.12,43.2,39.74,36.86,37.09,monitor and screen after hazard-layer ingestion,housing cost burden; renter cost burden; long commutes; older adults,36.95,33.33,7.14,2.62,29.07,18.44,17.62,1.73,21.55,3.16,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Littleton,Aroostook,2024,887,40.11,38.93,36.74,44.55,26.31,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; disability; renter cost burden,33.53,20.75,8.86,6.65,18.49,15.9,22.89,1.55,7.38,0.83,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Nobleboro,Lincoln,2024,1906,40.11,59.92,35.86,42.15,40.29,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; housing cost burden; older adults,29.77,51.3,10.44,1.79,27.91,11.75,17.52,28.55,9.26,0.6,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Corinth,Penobscot,2024,2990,40.0,42.25,36.9,44.18,31.26,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; disability; renter cost burden,30.54,23.37,11.44,4.13,16.29,17.27,23.01,7.91,12.06,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Strong,Franklin,2024,1249,39.9,54.49,44.79,35.91,44.83,monitor and screen after hazard-layer ingestion,housing cost burden; seasonal housing pressure; children/family demand; long commutes,38.26,20.93,13.93,6.59,22.02,17.21,19.54,20.65,19.45,0.4,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Hampden,Penobscot,2024,7896,39.87,32.47,28.95,53.59,22.94,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; renter cost burden; disability,23.79,22.25,7.48,3.28,17.19,12.89,25.84,3.16,8.18,0.44,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Franklin,Hancock,2024,1628,39.85,55.73,42.5,36.59,44.08,monitor and screen after hazard-layer ingestion,renter cost burden; seasonal housing pressure; poverty; housing cost burden,29.74,36.71,15.72,1.52,25.55,15.48,16.28,21.99,17.27,1.38,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Brooks,Waldo,2024,1208,39.84,40.4,46.21,41.02,35.21,monitor and screen after hazard-layer ingestion,poverty; disability; children/family demand; long commutes,20.49,17.98,19.06,5.0,16.97,22.1,17.05,7.96,14.7,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
New Gloucester,Cumberland,2024,5766,39.8,35.97,26.17,50.39,22.99,monitor and screen after hazard-layer ingestion,children/family demand; housing cost burden; renter cost burden; disability,36.22,24.72,4.32,0.0,15.4,13.64,24.25,1.06,9.1,0.86,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bradford,Penobscot,2024,1254,39.78,51.69,34.28,31.93,41.28,monitor and screen after hazard-layer ingestion,renter cost burden; long commutes; housing cost burden; children/family demand,34.62,87.5,9.01,3.78,21.45,11.24,18.9,4.69,27.49,2.52,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Cranberry Isles,Hancock,2024,196,39.75,68.29,34.84,36.51,45.28,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; housing cost burden; zero-car households,39.02,71.43,4.59,15.48,19.9,8.67,19.39,69.02,13.08,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Charleston,Penobscot,2024,1117,39.69,44.53,25.03,45.33,26.22,monitor and screen after hazard-layer ingestion,renter cost burden; housing cost burden; children/family demand; disability,31.48,45.45,6.36,1.81,11.55,10.32,19.43,3.49,9.85,1.58,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Dallas,Franklin,2024,220,39.66,49.3,53.51,47.23,39.45,seasonal-market pressure and year-round housing review,seasonal housing pressure; older adults; housing cost burden; disability,41.44,0.0,7.27,9.02,43.18,25.45,2.27,66.52,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Milton UT,Oxford,2024,166,39.66,64.76,51.63,29.71,53.71,monitor and screen after hazard-layer ingestion,poverty; seasonal housing pressure; renter cost burden; disability,22.92,40.0,30.12,0.0,23.49,21.08,20.48,34.83,20.37,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lowell,Penobscot,2024,378,39.65,65.87,49.74,29.43,55.36,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; disability; long commutes,33.12,80.0,10.85,5.73,31.22,26.19,13.23,38.75,22.3,2.08,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Waltham,Hancock,2024,346,39.64,54.25,53.55,27.34,53.9,monitor and screen after hazard-layer ingestion,long commutes; housing cost burden; poverty; older adults,41.18,15.0,19.65,0.0,32.95,20.81,15.03,17.33,35.67,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Otisfield,Oxford,2024,1951,39.61,66.28,40.41,33.78,52.44,seasonal-market pressure and year-round housing review,renter cost burden; seasonal housing pressure; long commutes; housing cost burden,35.01,77.27,10.3,4.73,23.68,17.99,16.09,35.53,23.97,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
